codAsignatura;nombreAsignatura;creditos
22101;CCC ZZZZ;4
22102;PPPPPPPP PPPP;3
22103;MMMMM ZZZ;2
22104;MMMMMMMMMM HHHHH;2
22105;BBBBBBB GGGGGG;3
22108;AAAAAAAA VVVVVV;4
22109;OOOOOOOOOO BBBB;2
22110;PPPPPPP GGGGGGGG;3
22111;UUUUUUU QQQQQQQQQQ;5
22113;OOOOO IIIIIIII;3
22115;BBBBBBBBBB FFFFFF;2
22117;KKKKKKKK GGGGGGGGGG;4
22119;GGGGGGG OOOOOOOOO;4
22121;XXXX OOOOOOOO;2
22122;BBBB HHHH;5
22123;LLLLLLLL MMMMM;2
22124;AAAA NNNNNNNNNN;7
22126;KKKKKKKKK IIIIIII;5
22127;EEEEE MMMMMMM;3
22128;YYYYYY MMM;6
22129;PPPPPPPPPP PPPPPPPPPP;3
22130;HHHHHHHHH LLLLLLLLL;3
22131;CCC UUU;2
22132;XXXXXX JJJJJJ;5
22133;LLLLLLL BBBBBB;5
22135;FFFFFF MMMMMMMMMM;4
22138;ZZZZ VVVVV;4
22139;LLLLL AAAAA;5
22140;MMMMM PPPPPPPPP;3
22142;FFFF EEEEEEEEE;4
22143;YYYYYYYYYY QQQQQ;5
22144;VVVV VVVVVVVV;2
22145;ZZZZZZZ EEEEEEE;2
22146;UUUUUU GGGGG;2
22147;JJJJJJJJJJ OOOOOOO;2
22148;FFF OOOOO;5
22149;CCCCCC WWWWWWWWWW;5
22150;UUU BBBB;2
22152;ZZZZZZZ PPPPPPPPP;2
22153;TTTTTT MMMMMMM;5
22154;EEEEEEEEE QQQQQ;3
22156;NNNNNNN WWWWW;4
22157;IIIIII JJJJJJ;3
22159;UUUUUUUUUU HHHH;2
22161;QQQQQQQQQQ TTTTTTTTTT;5
22162;FFF EEEE;3
22165;NNN BBB;3
22166;CCC GGGG;5
22167;FFFFFFFFFF GGG;3
22168;PPPPPPPPPP IIII;4
22169;CCC QQQQQQQQQ;5
22170;ZZZZZ UUUU;5
22171;BBBBBBBB WWWWW;3
22172;EEEEEEEE OOOOOO;4
22173;NNNN HHH;2
22174;KKKKKKK LLLLLL;4
22175;RRRRRRRRRR PPP;5
22177;MMMMMMM CCCCCCCCCC;3
22179;FFFF GGGG;5
22180;JJJJJJ HHH;5
22181;LLL YYYYYYY;5
22184;CCCCCCCCCC LLLLLLLLLL;5
22185;RRRR DDDDDDDDD;3
22186;BBBBBBBB MMM;2
22187;PPPPPPPPPP TTT;2
22188;PPPPPPPP YYYYYY;2
22189;XXXX UUUUUUU;4
22190;YYYYYYY GGGGGG;3
22191;OOOOOOOOO CCC;4
22192;WWWWWWW NNNNNNNN;3
22193;QQQQQ GGGGGGGG;5
22194;LLLLLLLL GGGGGGGGG;4
22195;IIII YYYY;5
22199;UUU DDDDDDDD;5
